"state_po","year","pct_reg_under45","pct_reg_black","pct_reg_hispanic"
"ME",2012,0.344345616264295,0.00762388818297332,0.00508259212198221
"ME",2016,0.336144578313253,0.0108433734939759,0.00843373493975904
"ME",2020,0.333333333333333,0.00845410628019324,0.00966183574879227
"MI",2008,0.450370638220937,0.136684143916109,0.0153679262339541
"MI",2012,0.403202846975089,0.127402135231317,0.0343416370106762
"MI",2016,0.389032020610968,0.138387927861612,0.0185866764814133
"MI",2020,0.379790940766551,0.126535851824684,0.0181551439574546
"MN",2008,0.43841692255203,0.0310474240873422,0.0133060388945752
"MN",2012,0.415559157212318,0.0353322528363047,0.0175040518638574
"MN",2016,0.413747954173486,0.0438625204582651,0.0176759410801964
"MN",2020,0.382,0.051,0.0146666666666667
"MO",2008,0.441687344913151,0.109801488833747,0.00775434243176179
"MO",2012,0.418144208037825,0.114657210401891,0.0209810874704492
